kepid,plnt num,kname,dispos,GB_vif,RF_vif,LR,DT
7697568,1,K01829.01,FP,-,-,0.869,-
11874577,1,K02779.01,CAND,-,-,0.868,0.845
9006186,2,K02169.02,CAND,-,-,0.868,0.886
11709124,2,-,-,1.0,0.918,0.867,0.938
2438513,1,K01944.01,CAND,-,-,0.867,0.952
6049190,1,K01685.01,CAND,-,-,0.867,0.564
5020319,1,K00635.01,CAND,-,0.508,0.866,0.912
3940418,1,K00810.01,CAND,-,-,0.866,0.824
6946199,2,K01359.02,CAND,-,-,0.865,0.759
7670943,1,K00269.01,CAND,-,-,0.864,0.904
2449431,1,K02009.01,CAND,0.984,0.931,0.861,0.863
10676824,1,K00599.01,CAND,-,-,0.859,0.77
5786676,1,K00650.01,CAND,0.999,0.949,0.858,0.811
11810124,1,K03344.01,CAND,-,-,0.854,0.761
6383785,2,K00239.02,CAND,-,-,0.853,0.853
5195172,1,K01671.01,CAND,-,-,0.85,0.978
10134152,1,K02056.01,CAND,-,-,0.85,0.906
10016874,1,K00426.01,CAND,0.717,0.96,0.85,0.809
11071200,1,K02696.01,CAND,-,-,0.848,0.633
4770365,2,K01475.02,CAND,-,-,0.843,0.785
7887791,1,K01964.01,CAND,-,-,0.841,-
7364176,1,K00373.01,CAND,-,-,0.84,0.679
9006186,3,K02169.03,CAND,-,-,0.838,0.893
3097926,1,K02186.01,CAND,0.985,0.959,0.837,0.804
9904006,2,K02135.02,CAND,-,-,0.837,0.746
11026304,1,K01420.01,CAND,-,-,0.836,-
3128552,3,K02055.03,CAND,-,-,0.834,0.77
7899070,1,K02683.01,CAND,-,-,0.832,0.838
11337141,1,K01649.01,CAND,-,-,0.832,-
9244756,1,K01969.01,CAND,-,-,0.83,0.848
4365645,1,K01738.01,CAND,-,-,0.83,0.884
5534941,1,K02332.01,CAND,1.0,0.929,0.83,0.969
9636135,2,K01498.02,CAND,-,-,0.828,-
6587002,3,K00612.03,CAND,-,-,0.826,0.855
7948784,1,K01968.01,CAND,-,-,0.823,0.708
11705004,1,K02199.01,CAND,-,-,0.822,0.544
9837661,3,K02715.03,CAND,-,-,0.82,0.75
12017109,1,K02106.01,CAND,-,-,0.819,0.848
11599038,1,K01437.01,CAND,-,-,0.819,0.896
8263545,1,K02822.01,CAND,0.991,0.939,0.819,0.888
4466677,2,K01338.02,CAND,-,-,0.817,0.526
11030475,2,-,-,0.999,0.907,0.816,0.736
3109930,1,K01112.01,CAND,-,-,0.814,0.795
5219234,3,K01563.03,CAND,-,-,0.813,0.644
11852982,1,K00247.01,CAND,-,-,0.812,0.838
7256914,1,K04136.01,CAND,-,-,0.811,0.949
7584650,1,K02631.01,CAND,1.0,0.96,0.805,0.885
7679812,1,K03943.01,CAND,-,-,0.804,0.864
9896018,2,K02579.02,CAND,-,-,0.804,0.726
5042210,1,K02462.01,CAND,0.92,0.918,0.803,0.967
9697131,1,K02706.01,CAND,0.679,0.736,0.803,0.682
11752906,1,K00253.01,CAND,-,-,0.803,0.795
11853878,2,K01833.02,CAND,-,-,0.802,-
9532710,1,K02364.01,FP,-,-,0.802,0.716
9896018,1,K02579.01,CAND,-,-,0.8,0.887
7386827,1,K01704.01,CAND,-,-,0.799,0.81
8078502,1,K03383.01,CAND,-,-,0.798,0.923
4164922,1,K03864.01,CAND,-,-,0.797,0.668
8552202,1,K00914.01,CAND,-,-,0.796,-
12120943,1,K01458.01,CAND,-,-,0.793,0.748
11821363,1,K01494.01,CAND,-,-,0.792,0.8
7983117,1,K03214.01,CAND,-,-,0.791,-
10587105,3,K00339.03,CAND,-,-,0.791,0.55
5780885,2,-,-,0.912,0.4,0.787,0.607
9405595,1,K02125.01,CAND,-,-,0.787,0.822
8558011,1,K00577.01,CAND,-,-,0.784,0.777
5601258,1,K02191.01,CAND,-,-,0.784,0.8
10713616,1,K01311.01,CAND,-,-,0.784,0.648
9595686,1,K00944.01,CAND,-,-,0.783,0.767
3663173,1,K02750.01,CAND,-,-,0.783,0.616
10875007,1,K04149.01,CAND,-,-,0.781,0.76
9269281,1,K01398.01,CAND,-,-,0.781,-
8578780,1,K02023.01,CAND,-,-,0.778,0.888
8505920,1,K02094.01,CAND,-,-,0.777,0.835
11030711,1,K01429.01,CAND,-,-,0.776,0.585
11126381,1,K01863.01,CAND,0.999,0.933,0.776,0.889
11074178,2,K01889.02,CAND,-,-,0.775,0.896
9579641,3,K00115.03,CAND,-,-,0.774,-
4770365,1,K01475.01,CAND,-,-,0.773,0.832
9267996,1,K03431.01,FP,-,-,0.771,-
5953297,1,K02733.01,CAND,-,-,0.767,0.865
12469800,1,K02543.01,CAND,-,-,0.764,0.679
6198182,1,K02636.01,CAND,-,-,0.764,0.782
4242147,1,K01934.01,CAND,0.909,0.929,0.761,0.803
4951877,1,K00501.01,CAND,-,-,0.761,0.841
9517393,1,K02076.01,CAND,-,-,0.758,0.491
10877367,2,-,-,-,-,0.758,-
10350571,2,K01175.02,CAND,-,-,0.757,0.785
8261920,3,K02174.03,CAND,-,-,0.755,0.549
7202957,2,K02687.02,CAND,-,-,0.754,0.952
11253711,1,K01972.01,CAND,-,-,0.754,0.785
6467363,1,K02840.01,CAND,-,-,0.753,0.682
4756776,2,-,-,-,-,0.752,0.441
3425851,1,K00268.01,CAND,-,-,0.752,0.851
11967788,1,K04021.01,CAND,-,-,0.752,0.75
10294509,1,K04143.01,FP,-,-,0.75,-
8780959,2,K03741.02,FP,-,-,0.75,0.831
6058816,1,K03500.01,CAND,-,-,0.749,0.836
11657614,1,K03370.01,CAND,-,-,0.749,0.758
5978361,1,K00558.01,CAND,-,-,0.746,0.738
7877978,1,K02760.01,CAND,-,-,0.745,0.809
10793172,2,K02871.02,CAND,-,-,0.743,0.723
2854181,1,K02232.01,CAND,-,-,0.742,0.821
11026582,1,K05854.01,CAND,-,-,0.742,-
12120307,3,K02597.03,CAND,-,-,0.741,0.618
7135852,1,K00875.01,CAND,-,-,0.74,0.767
9230021,1,K03429.01,CAND,-,-,0.739,0.735
8678594,2,K01261.02,CAND,-,-,0.736,0.863
3098810,1,K01878.01,CAND,-,-,0.733,0.584
6342333,1,K02065.01,CAND,-,-,0.728,0.733
6666233,2,-,-,1.0,0.846,0.727,0.837
9729691,2,K01751.02,FP,-,-,0.726,-
3859628,1,K01191.01,CAND,-,-,0.724,0.788
7449554,1,K02357.01,CAND,0.92,0.863,0.723,0.79
10793172,1,K02871.01,CAND,-,-,0.721,0.758
10319385,1,K01169.01,CAND,-,-,0.72,0.751
5787131,1,K02927.01,CAND,-,-,0.72,0.766
8564976,1,K03890.01,CAND,-,-,0.716,-
4860678,1,K01602.01,CAND,-,-,0.714,0.741
6803202,1,K00177.01,CAND,-,0.503,0.714,0.91
7183745,2,K02521.02,CAND,-,-,0.714,0.855
6719086,1,K01357.01,CAND,-,-,0.713,0.715
7287415,1,K01369.01,CAND,-,-,0.713,0.937
11718144,1,K02310.01,CAND,-,-,0.713,0.833
9414417,1,K00974.01,CAND,-,-,0.712,-
11244682,1,K03933.01,CAND,-,-,0.712,0.882
10513530,2,K00533.02,CAND,-,-,0.712,-
12785320,2,K00298.02,CAND,-,-,0.71,0.729
10973664,2,K00601.02,CAND,-,-,0.709,-
9030537,1,K01892.01,CAND,-,-,0.707,0.545
4857213,1,K02120.01,CAND,-,-,0.706,0.74
4548098,1,K04157.01,CAND,-,-,0.705,0.831
3761319,1,K06104.01,CAND,-,-,0.704,0.689
10252275,2,K03130.02,CAND,-,-,0.703,0.646
5716932,1,K02358.01,CAND,-,-,0.703,0.778
12105051,1,K00141.01,CAND,-,-,0.703,0.762
7941200,1,K00092.01,CAND,-,-,0.702,-
11754430,2,K03403.02,CAND,-,-,0.7,0.699
10337517,1,K01165.01,CAND,-,0.516,0.697,0.88
2446113,1,K00379.01,FP,-,-,0.697,0.927
12156347,1,K02588.01,CAND,-,-,0.696,0.718
5542466,1,K01590.01,CAND,-,-,0.695,-
10118816,1,K01085.01,CAND,-,-,0.693,0.826
5978559,1,K02321.01,CAND,0.992,0.959,0.693,0.698
7287683,1,K01622.01,CAND,-,-,0.692,0.715
12121570,1,K02290.01,CAND,-,-,0.691,0.685
8257205,2,K01986.02,CAND,-,-,0.691,0.727
11752906,2,K00253.02,CAND,-,-,0.691,0.712
8655354,2,-,-,0.736,0.5,0.691,0.726
9836959,1,K01715.01,CAND,0.977,0.938,0.69,0.55
10055126,3,K01608.03,CAND,-,-,0.689,0.534
10387742,1,K02583.01,CAND,-,-,0.688,0.9
5531953,2,K01681.02,FP,-,-,0.688,0.833
7522911,1,K01705.01,CAND,-,-,0.688,0.707
7294743,1,K02516.01,CAND,-,-,0.688,0.874
12061238,1,K01502.01,FP,-,-,0.687,-
6975129,3,K01628.03,FP,-,-,0.685,0.586
10514430,3,-,-,-,0.385,0.685,0.726
9700449,1,K04120.01,CAND,-,-,0.684,-
9489524,4,K02029.04,CAND,-,-,0.683,0.489
10363115,1,K03908.01,CAND,-,-,0.682,0.781
10386922,1,K00289.01,CAND,-,-,0.679,0.631
8494542,1,K02204.01,CAND,-,-,0.679,0.679
11771430,1,K02582.01,CAND,-,-,0.679,0.689
9692128,1,K02769.01,FP,-,-,0.677,-
3323887,2,-,-,0.805,-,0.677,0.714
11462341,1,K02124.01,CAND,-,-,0.677,0.686
8018547,1,K00902.01,CAND,-,-,0.676,0.742
6543893,2,K01627.02,CAND,-,-,0.674,0.754
6609270,1,K03090.01,CAND,-,-,0.674,0.727
9489524,3,K02029.03,CAND,-,-,0.673,-
11192235,1,K02329.01,CAND,-,0.888,0.673,0.599
5283542,1,K00827.01,FP,-,-,0.673,-
11922778,1,K03408.01,CAND,-,-,0.671,-
3229150,1,K02150.01,CAND,-,-,0.671,-
8261920,2,K02174.02,CAND,-,-,0.668,0.549
9898447,1,K02803.01,CAND,-,-,0.668,0.832
8984831,4,-,-,-,-,0.667,-
6721523,5,-,-,-,-,0.667,0.462
5480766,5,-,-,-,-,0.666,-
5980783,1,K02967.01,CAND,0.854,0.968,0.663,0.662
10074466,1,K01917.01,CAND,-,-,0.663,0.606
9700145,4,-,-,-,-,0.661,0.474
8162789,1,K00521.01,CAND,-,0.457,0.659,-
7202957,1,K02687.01,CAND,-,-,0.657,-
6862721,1,K01982.01,CAND,-,-,0.657,0.746
8630788,3,K01258.03,CAND,-,-,0.657,0.494
11818607,1,K02467.01,CAND,-,-,0.656,0.567
4650733,1,K01659.01,CAND,0.747,0.913,0.655,0.585
12061969,2,K02061.02,CAND,-,-,0.654,-
11968463,3,K02433.03,CAND,0.997,-,0.653,-
4814502,1,K04004.01,CAND,1.0,0.969,0.653,0.869
9307509,1,K02096.01,CAND,-,-,0.652,0.857
3561464,3,K03398.03,CAND,-,-,0.652,0.494
8410415,1,K02291.01,CAND,-,-,0.651,0.773
7700622,1,K00315.01,CAND,-,-,0.651,0.708
3937519,2,K00221.02,CAND,-,-,0.649,0.824
10397751,3,K02859.03,CAND,-,-,0.648,-
10621643,5,-,-,-,-,0.647,0.396
10141900,1,K01082.01,CAND,-,-,0.645,0.694
10252275,1,K03130.01,CAND,-,-,0.644,0.8
8394756,3,-,-,-,-,0.642,-
9458754,4,-,-,-,-,0.642,0.411
2447832,5,-,-,-,-,0.642,0.421
3561464,2,K03398.02,CAND,-,-,0.639,0.669
11967788,2,K04021.02,CAND,-,-,0.639,0.585
4846856,1,K02900.01,CAND,-,-,0.638,-
9995771,1,K03470.01,CAND,1.0,0.957,0.636,0.821
10189546,1,K00427.01,CAND,-,-,0.636,-
7289577,1,K01974.01,CAND,-,-,0.635,0.566
11076400,1,K02759.01,CAND,-,-,0.634,0.535
12115188,2,-,-,1.0,0.462,0.633,0.792
12406807,1,K03091.01,CAND,-,-,0.633,0.601
9100953,2,K04500.02,CAND,-,-,0.632,-
11122894,3,K01426.03,CAND,-,-,0.632,0.831
7219825,3,K00238.03,CAND,-,-,0.631,0.58
5966810,1,K03909.01,CAND,0.528,0.87,0.631,0.599
7661065,1,K02307.01,CAND,-,-,0.63,0.571
8747865,5,-,-,-,-,0.63,-
6955650,1,-,-,-,-,0.629,0.518
2832589,1,K01942.01,CAND,-,-,0.628,-
5621333,1,K03341.01,CAND,-,-,0.627,0.646
9475552,2,K02694.02,CAND,-,-,0.627,0.711
8074328,1,K02486.01,CAND,-,-,0.623,-
6356692,1,K02948.01,CAND,-,-,0.622,0.809
7124026,1,K02275.01,FP,-,-,0.621,0.791
8247770,1,K02569.01,CAND,-,-,0.621,0.703
12268190,7,-,-,-,-,0.621,-
10865397,4,-,-,-,-,0.62,-
5080636,2,K01843.02,CAND,-,-,0.619,-
9958962,3,K00593.03,CAND,-,-,0.617,-
5905822,1,K02801.01,CAND,-,-,0.617,0.682
9654468,1,K02417.01,CAND,-,-,0.615,0.615
10470206,1,K00335.01,FP,-,-,0.613,-
6605493,1,K02559.01,CAND,-,-,0.612,0.731
6115603,3,-,-,-,-,0.612,0.403
3634051,1,K06103.01,FP,-,-,0.612,0.587
2164169,1,K01029.01,CAND,-,-,0.612,0.744
4947556,1,K03936.01,FP,-,-,0.611,-
3629967,1,K01901.01,CAND,-,-,0.61,0.614
10525049,1,K04252.01,CAND,-,-,0.61,0.806
8321314,1,K02293.01,CAND,-,-,0.61,0.699
3120650,5,-,-,-,-,0.608,0.38
10028140,1,K01591.01,CAND,-,-,0.608,0.636
9153823,1,K06195.01,FP,-,-,0.608,0.817
6428794,1,K04054.01,CAND,0.999,0.914,0.607,0.847
5441980,1,K00607.01,CAND,-,-,0.606,0.802
9472000,1,K02082.01,CAND,-,-,0.606,0.541
8492101,1,K04437.01,FP,-,-,0.606,-
12737015,1,K04245.01,CAND,-,-,0.604,-
8397947,1,K04772.01,CAND,-,-,0.604,-
2161536,1,K02130.01,CAND,-,-,0.603,0.674
10744342,4,-,-,-,-,0.603,0.558
7879433,1,K02527.01,CAND,-,-,0.603,0.632
7987866,1,K02363.01,CAND,-,-,0.601,0.728
8261920,1,K02174.01,CAND,-,-,0.601,0.503
5131180,1,K00641.01,CAND,-,-,0.601,0.641
7050754,2,-,-,-,-,0.601,-
1872821,1,K02351.01,CAND,-,-,0.599,0.579
8709688,1,K03019.01,CAND,-,-,0.598,0.709
4770174,1,K02971.01,CAND,-,-,0.598,0.747
3323887,3,-,-,0.999,-,0.598,0.42
7120108,1,K02325.01,CAND,-,-,0.597,0.602
2718778,1,K02489.01,CAND,0.998,0.857,0.596,-
8189801,1,K02480.01,CAND,-,-,0.596,0.655
10460984,3,K00474.03,CAND,-,-,0.595,-
9017682,1,K01630.01,CAND,-,-,0.593,0.648
6359320,3,K01127.03,CAND,-,-,0.593,-
9334893,1,K02298.01,CAND,-,-,0.593,0.492
11818872,1,K02581.01,CAND,-,-,0.592,0.803
8110767,1,K02504.01,CAND,-,-,0.592,0.514
3218908,4,-,-,0.585,0.514,0.591,0.626
4851530,1,K01884.01,FP,-,-,0.591,-
5213230,1,K03474.01,CAND,0.748,0.933,0.59,0.72
4157325,3,K01860.03,CAND,-,-,0.59,-
1722916,6,-,-,-,-,0.59,-
7826659,1,K02686.01,CAND,-,-,0.59,0.584
7869917,2,K01525.02,CAND,-,-,0.589,-
10092312,1,K01823.01,FP,-,-,0.589,-
9283002,3,-,-,-,-,0.588,0.431
4771030,3,-,-,-,-,0.588,-
5556241,4,-,-,-,-,0.587,-
5942808,2,K02250.02,CAND,-,-,0.585,-
4385148,2,K02942.02,CAND,-,-,0.585,0.498
7463685,1,K02890.01,CAND,-,-,0.583,0.674
3103212,1,K04145.01,CAND,-,-,0.583,0.841
6871071,4,K02220.04,CAND,-,-,0.582,0.589
12457978,6,-,-,-,-,0.581,-
5942808,1,K02250.01,CAND,-,-,0.581,-
7199397,1,K00075.01,CAND,-,-,0.581,-
6867588,1,K02571.01,CAND,-,-,0.58,0.805
4173026,1,K02172.01,CAND,-,-,0.579,0.778
4473226,1,K02229.01,CAND,-,-,0.579,0.802
6110119,8,-,-,-,-,0.578,-
12406749,1,K01476.01,CAND,-,-,0.577,0.923
3122913,1,K02490.01,CAND,-,-,0.576,0.636
5436013,1,K02471.01,CAND,-,-,0.575,0.872
4548011,2,K04288.02,CAND,-,-,0.575,0.601
8753896,2,-,-,0.555,-,0.574,0.528
11395587,1,K00350.01,CAND,-,-,0.573,0.907
9691311,4,-,-,-,-,0.572,-
10533616,3,-,-,-,-,0.571,-
9936080,1,K04431.01,CAND,-,-,0.57,0.554
9205938,2,K02162.02,CAND,-,-,0.57,-
7017372,1,K03689.01,CAND,-,-,0.569,-
7017274,1,K03209.01,CAND,-,-,0.569,0.641
10471621,1,K02554.01,CAND,-,-,0.568,0.499
9003401,1,K02319.01,CAND,-,-,0.567,-
9328641,2,-,-,-,-,0.567,-
9714572,8,-,-,-,-,0.567,-
6837283,1,K02914.01,CAND,-,-,0.567,-
9002538,2,K03196.02,CAND,-,-,0.566,-
2444412,1,K00103.01,CAND,0.924,-,0.565,0.459
9993529,1,K02644.01,FP,-,-,0.565,-
11968463,4,K02433.04,CAND,-,-,0.565,0.49
3231341,5,-,-,0.894,0.877,0.564,0.555
7137725,1,K01699.01,FP,-,-,0.564,0.574
5621333,2,K03341.02,CAND,-,-,0.561,0.557
8480582,1,K04386.01,CAND,-,-,0.561,0.91
10122538,5,K02926.05,CAND,-,-,0.559,0.673
10875007,2,K04149.02,CAND,-,-,0.558,-
8056665,2,K00089.02,CAND,-,-,0.558,0.55
5906694,1,K04069.01,CAND,-,-,0.557,0.556
8540376,1,K07892.01,CAND,-,-,0.557,0.577
3239671,1,K02066.01,CAND,-,-,0.557,0.515
7256914,2,K04136.02,CAND,-,-,0.557,0.678
4058206,3,-,-,-,-,0.555,-
11394027,1,K00349.01,CAND,-,-,0.554,0.931
7825899,3,K00896.03,CAND,-,-,0.553,-
5471059,2,K03956.02,FP,-,-,0.553,-
7749773,1,K02848.01,CAND,-,-,0.552,0.634
12602335,3,-,-,-,-,0.551,-
6606438,1,K02860.01,CAND,-,-,0.551,-
5775129,1,K02802.01,CAND,0.972,0.947,0.551,0.719
8684730,1,K00319.01,CAND,-,-,0.551,0.575
9872292,1,K01537.01,CAND,-,-,0.551,0.704
5552761,7,-,-,-,-,0.55,-
5881120,1,K04156.01,CAND,-,-,0.55,0.621
10005758,2,K01783.02,CAND,0.993,0.737,0.55,0.548
5773121,1,K04002.01,CAND,0.658,0.86,0.549,0.652
4140813,1,K02117.01,CAND,-,-,0.549,0.779
9071593,2,K02257.02,CAND,-,-,0.549,0.573
4830605,1,K01660.01,CAND,-,-,0.548,-
7841925,2,K01499.02,CAND,-,-,0.548,-
9283156,1,K02657.01,CAND,-,-,0.547,0.625
7287118,4,-,-,-,-,0.547,-
11700604,7,-,-,-,-,0.547,-
12217824,3,-,-,-,-,0.546,-
3967219,3,-,-,-,-,0.546,-
9661979,1,K02132.01,CAND,-,-,0.546,0.673
4665571,1,K02393.01,CAND,-,-,0.545,-
10924400,2,-,-,-,-,0.544,0.757
7102227,3,K01360.03,CAND,-,-,0.544,0.708
10397751,4,K02859.04,CAND,-,-,0.544,-
9086251,1,K02367.01,CAND,-,-,0.543,0.547
5450893,1,K02970.01,CAND,-,-,0.543,0.7
7582608,4,-,-,-,-,0.543,-
8880123,1,K03493.01,CAND,-,-,0.541,0.641
6300348,1,K00212.01,CAND,-,-,0.54,0.899
6677841,3,-,-,0.829,0.571,0.54,0.531
7032429,5,-,-,-,-,0.54,-
5360082,2,-,-,-,-,0.539,0.854
5357545,1,K02219.01,CAND,-,-,0.539,-
11513486,1,K04748.01,CAND,-,-,0.538,-
6632435,2,-,-,-,-,0.538,-
5544450,1,K03226.01,CAND,-,-,0.538,0.675
10351231,1,K01166.01,CAND,-,-,0.537,0.656
6441738,1,K01246.01,CAND,-,-,0.536,0.67
8651389,1,K01754.01,CAND,0.984,0.948,0.536,0.679
9009953,1,K04014.01,CAND,-,-,0.536,-
5092266,1,K03045.01,CAND,0.521,0.98,0.535,0.627
10922659,1,K03335.01,CAND,-,-,0.534,0.719
8013419,1,K00901.01,CAND,-,-,0.534,0.566
8260218,1,K01066.01,CAND,-,-,0.533,0.475
10813078,1,K05831.01,CAND,-,-,0.532,0.575
7100673,5,K04032.05,CAND,-,-,0.532,-
4945266,2,-,-,-,-,0.531,-
5008245,1,K03770.01,CAND,-,-,0.531,-
9491205,3,-,-,-,0.385,0.531,-
7035274,3,-,-,-,-,0.53,-
8874090,2,K01404.02,CAND,-,-,0.53,-
9092504,2,K02716.02,CAND,-,-,0.53,-
7939330,1,K01581.01,CAND,-,-,0.527,0.532
4912650,1,K05098.01,CAND,0.66,-,0.526,0.516
7363829,1,-,-,0.553,-,0.525,-
5724810,1,-,-,-,-,0.524,0.526
8935810,1,K01395.01,CAND,-,-,0.523,0.808
8707670,5,-,-,-,-,0.523,-
4385148,1,K02942.01,CAND,-,-,0.521,0.668
9166700,1,K05632.01,CAND,-,-,0.521,0.591
7768451,1,K01527.01,CAND,-,-,0.52,0.67
8265218,1,K00522.01,CAND,-,-,0.52,0.735
6636320,1,K02989.01,CAND,-,-,0.52,-
5613821,1,K02915.01,CAND,-,-,0.518,0.795
8524712,3,-,-,-,-,0.517,-
12069786,3,-,-,-,-,0.517,-
6183511,1,K02542.01,CAND,-,-,0.516,0.635
8456679,1,K00102.01,CAND,-,-,0.514,-
8760040,2,K02963.02,CAND,-,-,0.512,-
8008067,3,K00316.03,CAND,-,-,0.512,-
4840513,2,-,-,1.0,0.922,0.512,0.946
5124667,1,K01822.01,CAND,0.722,0.82,0.512,0.736
9490506,2,-,-,-,-,0.511,-
5372081,7,-,-,-,-,0.51,-
7533425,6,-,-,-,-,0.509,-
8758204,1,K02841.01,CAND,-,-,0.509,0.547
7869590,2,-,-,-,-,0.509,-
9279865,3,-,-,-,-,0.507,-
7872212,7,-,-,-,-,0.507,-
3112129,2,-,-,0.977,0.8,0.507,-
4939265,3,-,-,-,0.462,0.506,0.659
12009347,2,-,-,0.999,0.86,0.506,0.738
10187017,6,K00082.06,CAND,-,-,0.506,-
9673338,9,-,-,-,-,0.505,-
7117284,2,-,-,-,-,0.504,0.44
3122872,1,K03203.01,CAND,-,-,0.503,0.769
5963582,1,K02479.01,CAND,-,-,0.503,0.668
11450414,3,K01992.03,FP,-,-,0.502,-
11046025,1,K01646.01,CAND,-,-,0.502,-
4370956,2,-,-,-,-,0.501,-
11177543,1,K01648.01,CAND,-,-,0.501,0.605
10853783,2,-,-,-,-,0.5,-
11465651,1,K04150.01,CAND,-,-,0.499,-
9579208,1,K03165.01,CAND,-,-,0.499,-
9700145,2,-,-,-,-,0.497,-
5792202,4,K00841.04,FP,-,-,0.497,0.602
10798331,1,K02373.01,CAND,-,-,0.496,-
4077526,4,K01336.04,CAND,-,-,0.496,-
5004909,1,K03421.01,FP,-,-,0.496,0.516
3453026,2,-,-,-,-,0.496,-
8414216,1,K07036.01,FP,-,-,0.494,0.766
7115249,7,-,-,-,-,0.494,-
9086154,1,K04060.01,CAND,-,-,0.491,0.481
12257999,1,K02577.01,CAND,-,-,0.49,0.539
7031126,7,-,-,-,-,0.487,-
6432345,1,K02757.01,CAND,0.999,0.943,0.486,0.705
10717241,2,K00430.02,CAND,-,-,0.486,0.495
6115603,10,-,-,-,-,0.486,-
2443393,1,K02603.01,CAND,-,-,0.485,-
10482774,7,-,-,-,-,0.485,-
6945500,5,-,-,-,-,0.484,-
7031126,3,-,-,-,-,0.483,-
5095635,1,K02607.01,CAND,0.995,0.823,0.483,0.529
2993589,5,-,-,-,-,0.481,-
8280511,5,K01151.05,CAND,-,-,0.479,-
9512981,1,K01466.01,CAND,-,-,0.479,-
7352016,1,-,-,-,-,0.478,-
7047496,2,-,-,-,-,0.478,-
7032218,3,-,-,-,-,0.477,-
7673192,5,K02722.05,CAND,-,-,0.477,-
4566740,8,-,-,-,-,0.477,-
4566740,9,-,-,-,-,0.476,-
11127641,5,-,-,-,-,0.474,-
3660392,6,-,-,-,-,0.471,-
8280511,4,K01151.04,CAND,-,-,0.471,-
2438502,2,-,-,-,0.481,0.471,0.786
3561700,5,-,-,-,-,0.471,-
5302881,2,-,-,-,-,0.47,-
7211759,8,-,-,-,-,0.468,-
10028792,3,K01574.03,CAND,-,-,0.466,-
6140084,10,-,-,-,-,0.464,-
7117444,6,-,-,-,-,0.464,-
5476864,2,-,-,-,-,0.464,0.529
10206675,2,-,-,-,-,0.462,-
8826317,10,-,-,-,-,0.462,-
9099950,7,-,-,-,-,0.462,-
4263801,4,-,-,-,-,0.462,-
11100532,9,-,-,-,-,0.461,-
8527297,3,-,-,-,-,0.461,-
1433399,3,-,-,-,-,0.458,-
9237305,5,-,-,-,-,0.458,-
7041634,2,-,-,-,-,0.458,0.514
3450040,1,K04205.01,CAND,-,-,0.458,0.775
10397751,5,K02859.05,CAND,-,-,0.458,-
3975085,7,-,-,-,-,0.458,-
10132618,2,-,-,-,-,0.455,-
8971294,2,-,-,-,-,0.455,-
7335514,1,K06860.01,CAND,-,-,0.455,-
5787972,10,-,-,-,-,0.454,-
10877367,6,-,-,-,-,0.454,-
5088084,4,-,-,-,-,0.454,-
