kepid,kepoi_name,koi_disposition,tce_plnt_num,pca
11446443,K00001.01,CONFIRMED,1,8149225689.734189
10666592,K00002.01,CONFIRMED,1,8149225689.931921
10748390,K00003.01,CONFIRMED,1,8149225689.905061
3861595,K00004.01,CONFIRMED,1,8149225689.594845
8554498,K00005.01,CANDIDATE,1,8149225672.363998
3248033,K00006.01,FALSE POSITIVE,1,-584360428.7744716
11853905,K00007.01,CONFIRMED,1,8149225467.1795845
5903312,K00008.01,FALSE POSITIVE,1,2627046872.4677186
11553706,K00009.01,FALSE POSITIVE,1,8149225689.856285
6922244,K00010.01,CONFIRMED,1,8149225689.7377825
11913073,K00011.01,FALSE POSITIVE,1,-143651335.82444653
5812701,K00012.01,CONFIRMED,1,8149225689.8457365
9941662,K00013.01,CONFIRMED,1,8149225689.935233
7684873,K00014.01,FALSE POSITIVE,1,8149225141.043511
3964562,K00015.01,FALSE POSITIVE,1,8149225306.676099
9110357,K00016.01,FALSE POSITIVE,1,1982644235.8978064
10874614,K00017.01,CONFIRMED,1,8149225689.868338
8191672,K00018.01,CONFIRMED,1,8149225689.892054
7255336,K00019.01,FALSE POSITIVE,1,8149225689.774317
11804465,K00020.01,CONFIRMED,1,8149225689.812221
10125352,K00021.01,FALSE POSITIVE,1,8149225689.659264
9631995,K00022.01,CONFIRMED,1,8149225689.785786
9071386,K00023.01,FALSE POSITIVE,1,8149225689.918626
4743513,K00024.01,FALSE POSITIVE,1,8149225689.94639
10593759,K00025.01,FALSE POSITIVE,1,8149225689.893112
5021737,K00026.01,FALSE POSITIVE,1,5533039590.114385
3832716,K00027.01,FALSE POSITIVE,1,-2767557093.7114205
4247791,K00028.01,FALSE POSITIVE,1,8149225689.958005
6956014,K00031.01,FALSE POSITIVE,1,8149225311.280122
5725087,K00033.01,FALSE POSITIVE,1,-35379234.76170231
6521045,K00041.01,CONFIRMED,1,-611373869.6296306
6521045,K00041.02,CONFIRMED,2,-1565577970.2016516
6521045,K00041.03,CONFIRMED,3,-2274618098.286831
8866102,K00042.01,CONFIRMED,1,2404202068.677709
9025922,K00043.01,FALSE POSITIVE,1,-827531108.6476333
8845026,K00044.01,FALSE POSITIVE,1,3755959161.978671
3742855,K00045.01,FALSE POSITIVE,1,7024938863.104215
10905239,K00046.01,CONFIRMED,1,8149225498.778332
10905239,K00046.02,CONFIRMED,2,-2460262994.0832686
7837302,K00048.01,FALSE POSITIVE,1,8149225689.905182
9527334,K00049.01,CONFIRMED,1,2275179882.7661357
6056992,K00051.01,FALSE POSITIVE,1,8149225689.642279
3558981,K00052.01,FALSE POSITIVE,1,8149225689.915942
2445975,K00053.01,FALSE POSITIVE,1,8149225689.728814
8248939,K00061.01,FALSE POSITIVE,1,4724677642.414557
11554435,K00063.01,CONFIRMED,1,8149225689.780487
7051180,K00064.01,CANDIDATE,1,8149225689.655042
10620329,K00066.01,FALSE POSITIVE,1,8149224764.570388
8669092,K00068.01,FALSE POSITIVE,1,-2767556702.655412
3544595,K00069.01,CONFIRMED,1,8149224491.382947
6850504,K00070.01,CONFIRMED,1,4726575404.626754
6850504,K00070.02,CONFIRMED,2,5100946134.011453
6850504,K00070.03,CONFIRMED,3,-1090351216.954887
6850504,K00070.04,CONFIRMED,4,-1780005115.4260874
6850504,K00070.05,CONFIRMED,5,-2271098609.0644026
11904151,K00072.01,CONFIRMED,1,-191326322.46268508
11904151,K00072.02,CONFIRMED,2,1388237176.8058221
6889235,K00074.01,FALSE POSITIVE,1,8149225689.880502
7199397,K00075.01,CANDIDATE,1,-231069548.4566379
9955262,K00076.01,FALSE POSITIVE,1,2301559931.7347507
9552608,K00080.01,FALSE POSITIVE,1,7929978501.485983
8823868,K00081.01,FALSE POSITIVE,1,8149225689.9066
10187017,K00082.01,CONFIRMED,1,4730692801.169287
10187017,K00082.02,CONFIRMED,2,288354792.84879494
10187017,K00082.03,CONFIRMED,3,-1906588339.4726498
10187017,K00082.04,CONFIRMED,4,-1728077081.2523708
10187017,K00082.05,CONFIRMED,5,-1916975595.8692076
10187017,K00082.06,CANDIDATE,6,-2286462664.7055
2571238,K00084.01,CONFIRMED,1,4951629284.085309
5866724,K00085.01,CONFIRMED,1,4775519862.050089
5866724,K00085.02,CONFIRMED,2,2019882842.3986175
5866724,K00085.03,CONFIRMED,3,-939587609.6370445
10593626,K00087.01,CONFIRMED,1,-1735190054.8366277
7700871,K00088.01,FALSE POSITIVE,1,258770255.36294913
8056665,K00089.01,CONFIRMED,1,-1521249025.4689095
8056665,K00089.02,CANDIDATE,2,-1460782791.998125
9210823,K00090.01,FALSE POSITIVE,1,1012090401.6349273
7941200,K00092.01,CANDIDATE,1,189859382.91284373
6462863,K00094.01,CONFIRMED,1,8149225689.663345
6462863,K00094.02,CONFIRMED,2,629637323.384999
6462863,K00094.03,CONFIRMED,3,1625908912.5103414
6462863,K00094.04,CONFIRMED,4,-978104008.1222322
5780885,K00097.01,CONFIRMED,1,8149225689.857295
10264660,K00098.01,CONFIRMED,1,8149225689.70004
4055765,K00100.01,CANDIDATE,1,1824674592.3364964
8456679,K00102.01,CANDIDATE,1,8149225028.259032
8456679,K00102.02,FALSE POSITIVE,2,-1395034190.5948954
2444412,K00103.01,CANDIDATE,1,687404093.4517626
10318874,K00104.01,CONFIRMED,1,8149225403.391684
8711794,K00105.01,CONFIRMED,1,7561786947.557487
10489525,K00106.01,FALSE POSITIVE,1,241717511.75860906
11250587,K00107.01,CONFIRMED,1,1513094350.4800556
4914423,K00108.01,CONFIRMED,1,473982925.1554316
4914423,K00108.02,CONFIRMED,2,-1072130400.3619934
4752451,K00109.01,FALSE POSITIVE,1,-1661114629.5003717
9450647,K00110.01,CONFIRMED,1,2070353080.3216796
6678383,K00111.01,CONFIRMED,1,1114084250.6988626
6678383,K00111.02,CONFIRMED,2,-1064374388.5967145
6678383,K00111.03,CONFIRMED,3,-508425933.47377247
10984090,K00112.01,CONFIRMED,1,-683383787.1010239
10984090,K00112.02,CONFIRMED,2,-290259082.3995534
6721123,K00114.01,FALSE POSITIVE,1,-1641448190.279956
9579641,K00115.01,CONFIRMED,1,5003962751.031483
9579641,K00115.02,CONFIRMED,2,-697436464.5655226
9579641,K00115.03,CANDIDATE,3,-2293217552.1818166
8395660,K00116.01,CONFIRMED,1,-112342174.72705252
8395660,K00116.02,CONFIRMED,2,-1422783259.0398939
8395660,K00116.03,CONFIRMED,3,-2219198990.6167083
8395660,K00116.04,CONFIRMED,4,-2425956502.6280036
10875245,K00117.01,CONFIRMED,1,-905092770.8130784
10875245,K00117.02,CONFIRMED,2,-604417255.7918656
10875245,K00117.03,CONFIRMED,3,-1213876131.871525
10875245,K00117.04,CONFIRMED,4,-2393875442.1377783
3531558,K00118.01,CONFIRMED,1,-1568845316.8688486
9471974,K00119.01,CONFIRMED,1,1106083405.3485663
9471974,K00119.02,CONFIRMED,2,-1622326549.5547378
11869052,K00120.01,CANDIDATE,1,-1879735808.1087523
3247396,K00121.01,FALSE POSITIVE,1,-1226225288.9069338
8349582,K00122.01,CONFIRMED,1,1205244077.4660707
5094751,K00123.01,CONFIRMED,1,1191980672.0899246
5094751,K00123.02,CONFIRMED,2,-703764672.0552303
11086270,K00124.01,CONFIRMED,1,-1080292169.795595
11086270,K00124.02,CONFIRMED,2,-1319899386.620891
11449844,K00125.01,CONFIRMED,1,8149225689.865036
5897826,K00126.01,FALSE POSITIVE,1,3291976997.8927445
5897826,K00126.02,CANDIDATE,2,-2705395626.9286957
8359498,K00127.01,CONFIRMED,1,8149225689.813901
11359879,K00128.01,CONFIRMED,1,8149225689.763882
11974540,K00129.01,CONFIRMED,1,8149225689.640612
5297298,K00130.01,CANDIDATE,1,8149225689.706329
7778437,K00131.01,CONFIRMED,1,8149225689.732138
8892910,K00132.01,FALSE POSITIVE,1,8149225689.69235
11673674,K00133.01,FALSE POSITIVE,1,8149225689.890584
9032900,K00134.01,FALSE POSITIVE,1,-690596154.8938769
9818381,K00135.01,CONFIRMED,1,8149225689.742044
7601633,K00136.01,FALSE POSITIVE,1,8149225366.411203
8644288,K00137.01,CONFIRMED,1,8061712512.014199
8644288,K00137.02,CONFIRMED,2,8149225684.464935
8644288,K00137.03,CONFIRMED,3,968664159.0611699
8506766,K00138.01,FALSE POSITIVE,1,4123200612.9703035
8559644,K00139.01,CONFIRMED,1,-255612768.4917447
8559644,K00139.02,CONFIRMED,2,-563986717.5462396
5130369,K00140.01,FALSE POSITIVE,1,-1835741622.6791217
12105051,K00141.01,CANDIDATE,1,8149225689.715394
4649305,K00143.01,CANDIDATE,1,1200559197.321097
4180280,K00144.01,CONFIRMED,1,6937953274.2667055
9904059,K00145.01,CANDIDATE,1,-2397280704.629721
9048161,K00146.01,FALSE POSITIVE,1,3337387387.621049
1996679,K00147.01,FALSE POSITIVE,1,-1509665948.3359253
5735762,K00148.01,CONFIRMED,1,2672009621.803148
5735762,K00148.02,CONFIRMED,2,2085572430.9766877
5735762,K00148.03,CONFIRMED,3,-1622682264.3518026
3835670,K00149.01,CONFIRMED,1,333173020.1083762
7626506,K00150.01,CONFIRMED,1,1807030706.044198
7626506,K00150.02,CONFIRMED,2,-600140173.1179632
2307199,K00151.01,CANDIDATE,1,542029902.4981246
8394721,K00152.01,CONFIRMED,1,403670276.06800014
8394721,K00152.02,CONFIRMED,2,-1081724692.152612
8394721,K00152.03,CONFIRMED,3,-1621638583.9222553
8394721,K00152.04,CONFIRMED,4,-2259251258.184333
12252424,K00153.01,CONFIRMED,1,3537498477.260845
12252424,K00153.02,CONFIRMED,2,2112257376.8346338
8030148,K00155.01,CONFIRMED,1,2764062610.657977
10925104,K00156.01,CONFIRMED,1,2593502446.485174
10925104,K00156.02,CONFIRMED,2,-68034941.07117401
10925104,K00156.03,CONFIRMED,3,-606848553.6450214
6541920,K00157.01,CONFIRMED,1,60285200.18765493
6541920,K00157.02,CONFIRMED,2,-149884302.88238278
6541920,K00157.03,CONFIRMED,3,-547314089.9048315
6541920,K00157.04,CONFIRMED,4,-1778868909.4973686
6541920,K00157.05,CONFIRMED,5,-1965237463.077398
6541920,K00157.06,CONFIRMED,6,-1635486819.7131722
10555375,K00158.01,FALSE POSITIVE,1,-1880900143.5064862
8972058,K00159.01,CONFIRMED,1,-38551087.72352393
8972058,K00159.02,CONFIRMED,2,-1293359359.5917628
6631721,K00160.01,CANDIDATE,1,-730500907.2191485
5084942,K00161.01,CONFIRMED,1,8149224929.244497
8107380,K00162.01,CONFIRMED,1,-235959878.93253157
6851425,K00163.01,CONFIRMED,1,299878992.5306966
5652237,K00164.01,FALSE POSITIVE,1,-1775569885.0740554
9527915,K00165.01,CONFIRMED,1,411368339.05672824
2441495,K00166.01,CONFIRMED,1,227088855.06706315
11666881,K00167.01,CONFIRMED,1,834027911.7492017
11512246,K00168.01,CONFIRMED,1,-1351917349.218835
11512246,K00168.02,CONFIRMED,2,-2041253044.5961652
11512246,K00168.03,CONFIRMED,3,-2157696317.6628933
6185711,K00169.01,FALSE POSITIVE,1,-944218326.1054862
11044770,K00170.01,FALSE POSITIVE,1,-2013520807.5003655
7831264,K00171.01,CONFIRMED,1,986168209.3451787
7831264,K00171.02,CONFIRMED,2,-1691689694.860866
8692861,K00172.01,CONFIRMED,1,-643224226.8998674
8692861,K00172.02,CONFIRMED,2,-2541735245.4321146
11402995,K00173.01,CONFIRMED,1,-815180930.8526021
10810838,K00174.01,CONFIRMED,1,-965566740.2502769
8323753,K00175.01,FALSE POSITIVE,1,-1104284940.766093
6442377,K00176.01,CONFIRMED,1,-1526081663.2331395
6803202,K00177.01,CANDIDATE,1,-1613513228.451473
11455491,K00178.01,FALSE POSITIVE,1,-2192303183.4659686
9663113,K00179.01,CONFIRMED,1,-757709752.2510321
9663113,K00179.02,CONFIRMED,2,-2430663761.57891
9573539,K00180.01,CONFIRMED,1,1723075402.3042035
12504988,K00181.01,FALSE POSITIVE,1,8149225689.794193
5376836,K00182.01,CANDIDATE,1,8149225689.795149
9651668,K00183.01,CONFIRMED,1,8149225689.828958
7972785,K00184.01,FALSE POSITIVE,1,8149225689.7536125
4178389,K00185.01,FALSE POSITIVE,1,8149225689.694479
12019440,K00186.01,CONFIRMED,1,8149225689.7742815
7023960,K00187.01,FALSE POSITIVE,1,8149225689.681713
5357901,K00188.01,CONFIRMED,1,8149225689.764623
11391018,K00189.01,CONFIRMED,1,8149225689.641771
5771719,K00190.01,FALSE POSITIVE,1,8149225689.657712
5972334,K00191.01,CONFIRMED,1,8149225689.594481
5972334,K00191.02,CANDIDATE,2,1469064802.9738853
5972334,K00191.03,CANDIDATE,3,-604749478.4189088
5972334,K00191.04,CONFIRMED,4,-2466405381.7101426
7950644,K00192.01,CONFIRMED,1,8149225689.775886
10799735,K00193.01,FALSE POSITIVE,1,8149225689.674121
10904857,K00194.01,CONFIRMED,1,8149225689.772904
11502867,K00195.01,CONFIRMED,1,8149225689.749262
9410930,K00196.01,CONFIRMED,1,8149225689.770995
2987027,K00197.01,CONFIRMED,1,8149225689.669907
10666242,K00198.01,FALSE POSITIVE,1,7179685861.176315
10019708,K00199.01,CONFIRMED,1,8149225689.763022
10019708,K00199.02,FALSE POSITIVE,2,-2511187367.003401
6046540,K00200.01,CONFIRMED,1,8149225689.721203
6849046,K00201.01,CONFIRMED,1,8149225689.770839
7877496,K00202.01,CONFIRMED,1,8149225689.766047
10619192,K00203.01,CONFIRMED,1,8149225689.925555
9305831,K00204.01,CONFIRMED,1,8149225689.706508
7046804,K00205.01,CONFIRMED,1,8149225689.648299
5728139,K00206.01,CONFIRMED,1,8149225689.66457
3762468,K00208.01,CONFIRMED,1,8149225689.655098
10723750,K00209.01,CONFIRMED,1,3222105141.246958
10723750,K00209.02,CONFIRMED,2,1635143447.0253847
10602291,K00210.01,FALSE POSITIVE,1,6887176590.881719
10656508,K00211.01,CANDIDATE,1,683524454.938765
6300348,K00212.01,CANDIDATE,1,8149225689.538081
9164836,K00213.01,FALSE POSITIVE,1,8149225689.901215
11046458,K00214.01,CONFIRMED,1,8149225689.651109
12508335,K00215.01,FALSE POSITIVE,1,5030398561.8692045
6152974,K00216.01,CONFIRMED,1,4410026280.98018
6152974,K00216.02,CONFIRMED,2,-1932299100.9055102
9595827,K00217.01,CONFIRMED,1,8149225689.756546
9838975,K00218.01,FALSE POSITIVE,1,8149225689.722214
6305192,K00219.01,CONFIRMED,1,8149225689.6473055
7132798,K00220.01,CONFIRMED,1,8149225689.655831
7132798,K00220.02,CONFIRMED,2,-1844313399.243738
3937519,K00221.01,CONFIRMED,1,8149225393.380456
3937519,K00221.02,CANDIDATE,2,-2226514186.3216057
4249725,K00222.01,CONFIRMED,1,1738620265.524906
4249725,K00222.02,CONFIRMED,2,-1290515583.6339228
4545187,K00223.01,CONFIRMED,1,6526037502.022598
4545187,K00223.02,CONFIRMED,2,-1724618207.5127225
5547480,K00224.01,FALSE POSITIVE,1,586465984.521978
5801571,K00225.01,FALSE POSITIVE,1,8149225461.490838
5959753,K00226.01,CONFIRMED,1,-751263357.6247561
3847907,K00229.01,CONFIRMED,1,8149225205.546847
3862246,K00230.01,FALSE POSITIVE,1,8149225052.699278
4043443,K00231.01,FALSE POSITIVE,1,-288203863.04543954
4833421,K00232.01,CONFIRMED,1,3630797901.4253874
4833421,K00232.02,CONFIRMED,2,-712125377.1262795
4833421,K00232.03,CONFIRMED,3,-2396056185.342924
4833421,K00232.04,CONFIRMED,4,-2144543321.5768065
4833421,K00232.05,CONFIRMED,5,-2456318381.7234483
5023956,K00233.01,FALSE POSITIVE,1,8149225689.936251
8491277,K00234.01,CONFIRMED,1,-209300428.527999
8107225,K00235.01,CONFIRMED,1,1145511831.4227505
8453211,K00236.01,FALSE POSITIVE,1,-1039343489.0689775
8041216,K00237.01,CONFIRMED,1,42545040.835065596
7219825,K00238.01,CONFIRMED,1,-1239641073.750249
7219825,K00238.02,CONFIRMED,2,-2671317265.5567346
7219825,K00238.03,CANDIDATE,3,-2489815631.408208
6383785,K00239.01,CONFIRMED,1,2890129989.530076
6383785,K00239.02,CANDIDATE,2,-1758157978.2543695
8026752,K00240.01,CONFIRMED,1,1604229452.1969671
11288051,K00241.01,CONFIRMED,1,-776829283.0973114
11288051,K00241.02,CONFIRMED,2,-2361194584.8069944
11288051,K00241.03,CONFIRMED,3,-1555052870.3190746
3642741,K00242.01,FALSE POSITIVE,1,6252368099.074657
9592579,K00243.01,FALSE POSITIVE,1,4362811616.913057
4349452,K00244.01,CONFIRMED,1,8149225502.498474
4349452,K00244.02,CONFIRMED,2,6805669980.592876
8478994,K00245.01,CONFIRMED,1,4173918796.990158
8478994,K00245.02,CONFIRMED,2,-1254605431.0432718
11295426,K00246.01,CONFIRMED,1,8149224912.050529
11295426,K00246.02,CONFIRMED,2,-1547546274.6327114
11852982,K00247.01,CANDIDATE,1,-472515902.11592263
5364071,K00248.01,CONFIRMED,1,1221921872.8784924
5364071,K00248.02,CONFIRMED,2,1968821131.9987462
5364071,K00248.03,CONFIRMED,3,-1066266594.3480903
5364071,K00248.04,CONFIRMED,4,-1768738528.102682
9390653,K00249.01,CONFIRMED,1,3829688433.022017
9757613,K00250.01,CONFIRMED,1,1388388066.174105
9757613,K00250.02,CONFIRMED,2,-217493285.4219002
9757613,K00250.03,CONFIRMED,3,-1455749820.8412836
9757613,K00250.04,CONFIRMED,4,-906810849.6202193
10489206,K00251.01,CONFIRMED,1,8048219326.376757
10489206,K00251.02,CONFIRMED,2,-1823624049.0566964
11187837,K00252.01,CANDIDATE,1,-435819934.6075899
11752906,K00253.01,CANDIDATE,1,1355067637.5336683
11752906,K00253.02,CANDIDATE,2,-2363624959.931813
5794240,K00254.01,CONFIRMED,1,8149225689.781334
7021681,K00255.01,CONFIRMED,1,-65122229.58572019
7021681,K00255.02,CANDIDATE,2,-2369846847.4446335
7021681,K00255.03,FALSE POSITIVE,3,-2417791299.499788
11548140,K00256.01,FALSE POSITIVE,1,2324057786.1017056
5514383,K00257.01,CONFIRMED,1,8149224854.421976
11231334,K00258.01,FALSE POSITIVE,1,1084733515.3604317
5790807,K00259.01,FALSE POSITIVE,1,8149225689.707663
8292840,K00260.01,CONFIRMED,1,-1183203368.3555255
8292840,K00260.02,CONFIRMED,2,-700870400.6079077
8292840,K00260.03,CONFIRMED,3,-1670081620.9883218
5383248,K00261.01,CONFIRMED,1,6052118926.555753
11807274,K00262.01,CONFIRMED,1,-173820303.15591025
11807274,K00262.02,CONFIRMED,2,-1668423353.1144578
10514430,K00263.01,FALSE POSITIVE,1,-2097279328.477191
3097346,K00264.01,FALSE POSITIVE,1,-961091320.314675
12024120,K00265.01,CONFIRMED,1,-302241054.54059786
7375348,K00266.01,CONFIRMED,1,-1594251817.1555548
7375348,K00266.02,CANDIDATE,2,-2264575048.426177
3425851,K00268.01,CANDIDATE,1,-848802279.7766831
7670943,K00269.01,CANDIDATE,1,-1619152085.0957348
6528464,K00270.01,CONFIRMED,1,-1587968855.3748443
6528464,K00270.02,CONFIRMED,2,-1876478544.0860062
9451706,K00271.01,CONFIRMED,1,-835586598.1490042
9451706,K00271.02,CONFIRMED,2,-1080380250.4229412
9451706,K00271.03,CONFIRMED,3,-1705111427.618072
5716763,K00272.01,FALSE POSITIVE,1,8149224769.783354
3102384,K00273.01,CONFIRMED,1,1654253990.6422513
8077137,K00274.01,CONFIRMED,1,-2316060046.0437083
8077137,K00274.02,CONFIRMED,2,-2420384352.7186027
10586004,K00275.01,CONFIRMED,1,-1585985119.231623
10586004,K00275.02,CONFIRMED,2,-2364291559.9194074
11133306,K00276.01,CONFIRMED,1,-460132252.8833009
11401755,K00277.01,CONFIRMED,1,-71889933.67149967
11401755,K00277.02,CONFIRMED,2,-2617360006.0764484
12314973,K00279.01,CONFIRMED,1,3761497481.171039
12314973,K00279.02,CONFIRMED,2,-1373190365.0226254
12314973,K00279.03,CONFIRMED,3,-2324414363.377634
4141376,K00280.01,CONFIRMED,1,2655274840.4313774
4143755,K00281.01,CONFIRMED,1,-1152466119.942001
5088536,K00282.01,CONFIRMED,1,887325793.1702006
5088536,K00282.02,CONFIRMED,2,-1642373263.1386065
5088536,K00282.03,CONFIRMED,3,-2197715682.664133
5695396,K00283.01,CONFIRMED,1,1865003744.2568827
5695396,K00283.02,CONFIRMED,2,-2330187243.425151
6021275,K00284.01,CONFIRMED,1,-939831979.6797539
6021275,K00284.02,CONFIRMED,2,-1609871700.033411
6021275,K00284.03,CONFIRMED,3,-1212617104.9447403
6021275,K00284.04,CONFIRMED,4,-2399769204.4111547
6196457,K00285.01,CONFIRMED,1,339162603.0892816
6196457,K00285.02,CONFIRMED,2,-1781346982.919502
6196457,K00285.03,CONFIRMED,3,-2297925584.094647
8258171,K00286.01,FALSE POSITIVE,1,-2156387963.366091
8703887,K00287.01,FALSE POSITIVE,1,8149225689.684559
9592705,K00288.01,CANDIDATE,1,-398888483.6028143
10386922,K00289.01,CANDIDATE,1,-306064481.3661851
